timestamp,steps,data source
2025-08-03T04:08:00Z,6,Sense 2
2025-08-03T04:09:00Z,12,Sense 2
2025-08-03T04:11:00Z,6,Sense 2
2025-08-03T04:18:00Z,13,Sense 2
2025-08-03T04:42:00Z,11,Sense 2
2025-08-03T04:43:00Z,6,Sense 2
2025-08-03T04:47:00Z,11,Sense 2
2025-08-03T05:00:00Z,8,Sense 2
2025-08-03T05:01:00Z,16,Sense 2
2025-08-03T05:02:00Z,26,Sense 2
2025-08-03T05:18:00Z,16,Sense 2
2025-08-03T05:19:00Z,11,Sense 2
2025-08-03T05:27:00Z,18,Sense 2
2025-08-03T05:33:00Z,16,Sense 2
2025-08-03T05:36:00Z,6,Sense 2
2025-08-03T05:37:00Z,6,Sense 2
2025-08-03T05:43:00Z,22,Sense 2
2025-08-03T06:09:00Z,13,Sense 2
2025-08-03T06:10:00Z,8,Sense 2
2025-08-03T06:52:00Z,5,Sense 2
2025-08-03T07:23:00Z,34,Sense 2
2025-08-03T07:24:00Z,11,Sense 2
2025-08-03T07:28:00Z,16,Sense 2
2025-08-03T07:40:00Z,7,Sense 2
2025-08-03T07:41:00Z,15,Sense 2
2025-08-03T07:44:00Z,9,Sense 2
2025-08-03T07:45:00Z,14,Sense 2
2025-08-03T08:38:00Z,19,Sense 2
2025-08-03T08:39:00Z,14,Sense 2
2025-08-03T08:46:00Z,10,Sense 2
2025-08-03T08:47:00Z,7,Sense 2
2025-08-03T08:53:00Z,8,Sense 2
2025-08-03T08:55:00Z,9,Sense 2
2025-08-03T08:56:00Z,8,Sense 2
2025-08-03T10:37:00Z,8,Sense 2
2025-08-03T10:59:00Z,7,Sense 2
2025-08-03T11:00:00Z,10,Sense 2
2025-08-03T11:18:00Z,7,Sense 2
2025-08-03T11:19:00Z,9,Sense 2
2025-08-03T11:23:00Z,16,Sense 2
2025-08-03T11:24:00Z,1,Sense 2
2025-08-03T11:29:00Z,16,Sense 2
2025-08-03T11:30:00Z,7,Sense 2
2025-08-03T11:32:00Z,63,Sense 2
2025-08-03T11:33:00Z,74,Sense 2
2025-08-03T11:34:00Z,13,Sense 2
2025-08-03T11:35:00Z,7,Sense 2
2025-08-03T11:38:00Z,22,Sense 2
2025-08-03T11:39:00Z,18,Sense 2
2025-08-03T11:42:00Z,18,Sense 2
2025-08-03T11:45:00Z,8,Sense 2
2025-08-03T11:52:00Z,10,Sense 2
2025-08-03T11:58:00Z,12,Sense 2
2025-08-03T12:08:00Z,6,Sense 2
2025-08-03T12:24:00Z,10,Sense 2
2025-08-03T12:28:00Z,11,Sense 2
2025-08-03T12:30:00Z,9,Sense 2
2025-08-03T13:17:00Z,8,Sense 2
2025-08-03T13:18:00Z,19,Sense 2
2025-08-03T13:22:00Z,8,Sense 2
2025-08-03T13:23:00Z,25,Sense 2
2025-08-03T13:26:00Z,34,Sense 2
2025-08-03T13:27:00Z,19,Sense 2
2025-08-03T13:28:00Z,9,Sense 2
2025-08-03T13:29:00Z,20,Sense 2
2025-08-03T13:30:00Z,7,Sense 2
2025-08-03T13:31:00Z,13,Sense 2
2025-08-03T13:32:00Z,14,Sense 2
2025-08-03T13:33:00Z,32,Sense 2
2025-08-03T13:34:00Z,25,Sense 2
2025-08-03T13:39:00Z,16,Sense 2
2025-08-03T14:03:00Z,8,Sense 2
2025-08-03T14:04:00Z,8,Sense 2
2025-08-03T14:06:00Z,7,Sense 2
2025-08-03T14:07:00Z,6,Sense 2
2025-08-03T14:09:00Z,4,Sense 2
2025-08-03T14:11:00Z,10,Sense 2
2025-08-03T14:12:00Z,9,Sense 2
2025-08-03T14:14:00Z,14,Sense 2
2025-08-03T14:16:00Z,8,Sense 2
2025-08-03T14:17:00Z,20,Sense 2
2025-08-03T14:18:00Z,22,Sense 2
2025-08-03T14:19:00Z,22,Sense 2
2025-08-03T14:20:00Z,9,Sense 2
2025-08-03T14:21:00Z,7,Sense 2
2025-08-03T14:23:00Z,15,Sense 2
2025-08-03T14:25:00Z,29,Sense 2
2025-08-03T14:29:00Z,5,Sense 2
2025-08-03T14:30:00Z,18,Sense 2
2025-08-03T14:31:00Z,51,Sense 2
2025-08-03T14:32:00Z,5,Sense 2
2025-08-03T14:33:00Z,48,Sense 2
2025-08-03T14:34:00Z,14,Sense 2
2025-08-03T14:35:00Z,32,Sense 2
2025-08-03T14:36:00Z,23,Sense 2
2025-08-03T14:37:00Z,19,Sense 2
2025-08-03T14:38:00Z,9,Sense 2
2025-08-03T14:39:00Z,31,Sense 2
2025-08-03T14:40:00Z,26,Sense 2
2025-08-03T14:41:00Z,32,Sense 2
2025-08-03T14:43:00Z,6,Sense 2
2025-08-03T14:46:00Z,4,Sense 2
2025-08-03T14:51:00Z,19,Sense 2
2025-08-03T14:52:00Z,6,Sense 2
2025-08-03T14:54:00Z,17,Sense 2
2025-08-03T14:55:00Z,10,Sense 2
2025-08-03T14:57:00Z,5,Sense 2
2025-08-03T14:58:00Z,6,Sense 2
2025-08-03T15:02:00Z,19,Sense 2
2025-08-03T15:03:00Z,7,Sense 2
2025-08-03T15:04:00Z,33,Sense 2
2025-08-03T15:05:00Z,24,Sense 2
2025-08-03T15:06:00Z,51,Sense 2
2025-08-03T15:07:00Z,79,Sense 2
2025-08-03T15:08:00Z,64,Sense 2
2025-08-03T15:09:00Z,35,Sense 2
2025-08-03T15:10:00Z,13,Sense 2
2025-08-03T15:11:00Z,55,Sense 2
2025-08-03T15:12:00Z,44,Sense 2
2025-08-03T15:13:00Z,6,Sense 2
2025-08-03T15:17:00Z,12,Sense 2
2025-08-03T15:18:00Z,26,Sense 2
2025-08-03T15:19:00Z,27,Sense 2
2025-08-03T15:21:00Z,18,Sense 2
2025-08-03T15:22:00Z,30,Sense 2
2025-08-03T15:33:00Z,8,Sense 2
2025-08-03T15:35:00Z,12,Sense 2
2025-08-03T15:37:00Z,8,Sense 2
2025-08-03T15:38:00Z,49,Sense 2
2025-08-03T15:39:00Z,30,Sense 2
2025-08-03T15:40:00Z,27,Sense 2
