timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-05T05:25:00Z,17.308,0.0,Fitbit App
2025-08-05T05:30:00Z,16.596,0.0,Fitbit App
2025-08-05T05:35:00Z,15.726,0.0,Fitbit App
2025-08-05T05:40:00Z,12.109,0.0,Fitbit App
2025-08-05T05:45:00Z,15.852,0.0,Fitbit App
2025-08-05T05:50:00Z,23.683,0.0,Fitbit App
2025-08-05T05:55:00Z,19.344,0.0,Fitbit App
2025-08-05T06:00:00Z,25.658,0.0,Fitbit App
2025-08-05T06:20:00Z,37.003,0.0,Fitbit App
2025-08-05T06:30:00Z,36.174,0.0,Fitbit App
2025-08-05T06:35:00Z,25.656,0.0,Fitbit App
2025-08-05T06:40:00Z,29.348,0.0,Fitbit App
2025-08-05T06:45:00Z,25.565,0.0,Fitbit App
2025-08-05T06:50:00Z,21.559,0.0,Fitbit App
2025-08-05T06:55:00Z,21.288,0.0,Fitbit App
2025-08-05T07:00:00Z,20.518,0.0,Fitbit App
2025-08-05T07:05:00Z,26.035,0.0,Fitbit App
2025-08-05T07:10:00Z,24.814,0.0,Fitbit App
2025-08-05T07:15:00Z,29.225,0.0,Fitbit App
2025-08-05T07:30:00Z,54.707,0.0,Fitbit App
2025-08-05T07:35:00Z,30.588,0.0,Fitbit App
2025-08-06T00:20:00Z,24.989,0.0,Fitbit App
2025-08-06T00:25:00Z,47.55,0.0,Fitbit App
2025-08-06T00:30:00Z,12.483,0.0,Fitbit App
2025-08-06T00:35:00Z,10.62,0.0,Fitbit App
2025-08-06T00:40:00Z,11.902,0.0,Fitbit App
2025-08-06T00:45:00Z,11.731,0.0,Fitbit App
2025-08-06T00:50:00Z,9.976,0.0,Fitbit App
2025-08-06T00:55:00Z,8.074,0.0,Fitbit App
2025-08-06T01:00:00Z,10.874,0.0,Fitbit App
2025-08-06T01:05:00Z,8.823,0.0,Fitbit App
2025-08-06T01:10:00Z,25.202,0.0,Fitbit App
2025-08-06T01:15:00Z,12.361,0.0,Fitbit App
2025-08-06T01:20:00Z,15.325,0.0,Fitbit App
2025-08-06T01:25:00Z,12.575,0.0,Fitbit App
2025-08-06T01:30:00Z,14.184,0.0,Fitbit App
2025-08-06T01:35:00Z,14.989,0.0,Fitbit App
2025-08-06T01:40:00Z,14.985,0.0,Fitbit App
2025-08-06T01:45:00Z,16.849,0.0,Fitbit App
2025-08-06T01:50:00Z,18.42,0.0,Fitbit App
2025-08-06T01:55:00Z,17.112,0.0,Fitbit App
2025-08-06T02:00:00Z,19.261,0.0,Fitbit App
2025-08-06T02:05:00Z,18.771,0.0,Fitbit App
2025-08-06T02:10:00Z,18.714,0.0,Fitbit App
2025-08-06T02:15:00Z,16.565,0.0,Fitbit App
2025-08-06T02:20:00Z,14.669,0.0,Fitbit App
2025-08-06T02:25:00Z,11.488,0.0,Fitbit App
2025-08-06T02:30:00Z,11.927,0.0,Fitbit App
2025-08-06T02:35:00Z,18.623,0.0,Fitbit App
2025-08-06T02:40:00Z,13.358,0.0,Fitbit App
2025-08-06T02:45:00Z,14.401,0.0,Fitbit App
2025-08-06T02:50:00Z,15.631,0.0,Fitbit App
2025-08-06T02:55:00Z,18.939,0.0,Fitbit App
2025-08-06T03:00:00Z,17.308,0.0,Fitbit App
2025-08-06T03:15:00Z,21.333,0.0,Fitbit App
