timestamp,temperature celsius,data source
2025-07-14T18:27:00Z,34.5,Sense 2
2025-07-14T18:28:00Z,34.5,Sense 2
2025-07-14T18:29:00Z,34.5,Sense 2
2025-07-14T18:30:00Z,34.5,Sense 2
2025-07-14T18:31:00Z,34.4,Sense 2
2025-07-14T18:32:00Z,34.3,Sense 2
2025-07-14T18:33:00Z,34.2,Sense 2
2025-07-14T18:34:00Z,34.1,Sense 2
2025-07-14T18:35:00Z,34.2,Sense 2
2025-07-14T18:36:00Z,34.2,Sense 2
2025-07-14T18:37:00Z,34.1,Sense 2
2025-07-14T18:38:00Z,34.1,Sense 2
2025-07-14T18:39:00Z,34.1,Sense 2
2025-07-14T18:40:00Z,34.0,Sense 2
2025-07-14T18:41:00Z,34.0,Sense 2
2025-07-14T18:42:00Z,34.0,Sense 2
2025-07-14T18:43:00Z,34.2,Sense 2
2025-07-14T18:44:00Z,34.2,Sense 2
2025-07-14T18:45:00Z,34.2,Sense 2
2025-07-14T18:46:00Z,34.2,Sense 2
2025-07-14T18:47:00Z,34.2,Sense 2
2025-07-14T18:48:00Z,34.3,Sense 2
2025-07-14T18:49:00Z,34.2,Sense 2
2025-07-14T18:50:00Z,34.0,Sense 2
2025-07-14T18:51:00Z,33.8,Sense 2
2025-07-14T18:52:00Z,33.7,Sense 2
2025-07-14T18:53:00Z,33.5,Sense 2
2025-07-14T18:54:00Z,33.5,Sense 2
2025-07-14T18:55:00Z,33.4,Sense 2
2025-07-14T18:56:00Z,33.4,Sense 2
2025-07-14T18:57:00Z,33.4,Sense 2
2025-07-14T18:58:00Z,33.3,Sense 2
2025-07-14T18:59:00Z,33.3,Sense 2
2025-07-14T19:00:00Z,33.2,Sense 2
2025-07-14T19:01:00Z,33.3,Sense 2
2025-07-14T19:02:00Z,33.2,Sense 2
2025-07-14T19:03:00Z,33.2,Sense 2
2025-07-14T19:04:00Z,33.1,Sense 2
2025-07-14T19:05:00Z,33.2,Sense 2
2025-07-14T19:06:00Z,33.2,Sense 2
2025-07-14T19:07:00Z,33.2,Sense 2
2025-07-14T19:08:00Z,33.1,Sense 2
2025-07-14T19:09:00Z,33.2,Sense 2
2025-07-14T19:10:00Z,33.1,Sense 2
2025-07-14T19:11:00Z,33.0,Sense 2
2025-07-14T19:12:00Z,33.0,Sense 2
2025-07-14T19:13:00Z,33.1,Sense 2
