timestamp,lap time,stroke count,stroke type,data source
2025-08-25T10:47:07Z,00:00:34.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-25T14:05:47Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-25T14:12:04Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T02:04:32Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T02:04:55Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T02:40:51Z,00:00:19.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T02:41:21Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T02:47:01Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T04:35:33Z,00:00:29.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T06:10:08Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T08:10:35Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T09:49:59Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-27T13:04:34Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T02:17:38Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T02:17:56Z,00:00:24.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T02:18:47Z,00:00:26.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T02:20:09Z,00:00:27.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T02:21:14Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T03:02:04Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T06:08:44Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T06:09:01Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T09:18:02Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T09:19:33Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T12:13:39Z,00:00:07.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T14:47:45Z,00:00:21.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-28T22:20:16Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-30T08:53:18Z,00:00:25.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-30T08:53:51Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-30T14:49:18Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-30T14:56:29Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-31T07:15:04Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
